SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate
-1.000000000000000000e+01,-9.733488984904941077e-01,5.000000000000000000e-01,1.000000000000000000e+00,2.145504339549492503e-02,5.044583649816459570e+01,0.000000000000000000e+00,1.000000000000000000e+00
-9.000000000000000000e+00,2.665110150950589230e-02,5.000000000000000000e-01,1.000000000000000000e+00,2.145504339549492503e-02,4.921602868984436441e+01,0.000000000000000000e+00,1.000000000000000000e+00
-8.000000000000000000e+00,1.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.145504339549492157e-02,4.714872734231212803e+01,0.000000000000000000e+00,1.000000000000000000e+00
-7.000000000000000000e+00,2.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.145504339549492503e-02,4.358688334808793741e+01,0.000000000000000000e+00,1.000000000000000000e+00
-6.000000000000000000e+00,3.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.145504339549492503e-02,3.811329886010830847e+01,0.000000000000000000e+00,1.000000000000000000e+00
-5.000000000000000000e+00,4.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.145503391174180194e-02,3.079834800764432856e+01,0.000000000000000000e+00,1.000000000000000000e+00
-4.000000000000000000e+00,5.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.145541305773013968e-02,2.251912032029654753e+01,0.000000000000000000e+00,1.000000000000000000e+00
-3.000000000000000000e+00,6.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.145137560334069507e-02,1.444881413819145166e+01,0.000000000000000000e+00,1.000000000000000000e+00
-2.000000000000000000e+00,7.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.143404865558986433e-02,8.056953518545336479e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.000000000000000000e+00,8.026651101509505892e+00,4.999912000000000245e-01,1.000000000000000000e+00,2.142204552649653454e-02,3.699882430564519264e+00,0.000000000000000000e+00,9.999799999999999800e-01
0.000000000000000000e+00,9.026651101509505892e+00,4.341866000000000336e-01,9.918799999999999839e-01,1.899101042884114229e-02,1.165692926975196109e+00,0.000000000000000000e+00,8.516099999999999781e-01
1.000000000000000000e+00,1.002665110150950589e+01,7.667279999999999929e-02,8.520299999999999541e-01,5.843974435760063493e-03,2.785857139194327092e-01,0.000000000000000000e+00,8.780000000000000304e-02
2.000000000000000000e+00,1.102665110150950589e+01,2.112840000000000204e-02,6.532200000000000228e-01,1.007794140629834174e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000192e-04
3.000000000000000000e+00,1.202665110150950589e+01,1.080460000000000101e-02,4.192299999999999915e-01,8.684827861599446084e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.302665110150950589e+01,4.937200000000000095e-03,2.192699999999999927e-01,8.156480903843524354e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.402665110150950589e+01,1.911200000000000052e-03,9.138999999999999901e-02,7.742805344106571319e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.502665110150950589e+01,6.088000000000000529e-04,3.003000000000000114e-02,7.424639386649601680e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.602665110150950767e+01,1.701999999999999900e-04,8.479999999999999691e-03,7.142554338783269410e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.702665110150950767e+01,4.219999999999999576e-05,2.109999999999999896e-03,6.910993987155319767e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.802665110150950767e+01,9.599999999999999566e-06,4.800000000000000122e-04,6.688686702412215525e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.902665110150950767e+01,9.999999999999999547e-07,5.000000000000000240e-05,6.490820157716998542e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,2.002665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.307721123883198262e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.102665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.138080503584152211e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.202665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.982271673281992601e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,2.302665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.833186862538696903e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.402665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.706719691097513489e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.502665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.584754677774339841e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,2.602665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.478064614893600383e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.702665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.392776714103394422e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,2.802665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.330066814049054134e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.902665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.283730903283193189e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,3.002665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.257745743737668757e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,3.102665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.244186267505963200e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,3.202665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.236903205031379679e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,3.302665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.235031048010789804e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
