SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate
-1.000000000000000000e+01,-9.733488984904941077e-01,3.744023999999999686e-01,1.000000000000000000e+00,9.777989483295336862e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.000000000000000000e+00,2.665110150950589230e-02,3.488344000000000444e-01,1.000000000000000000e+00,7.669570470057324348e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.000000000000000000e+00,1.026651101509505892e+00,3.198110000000000119e-01,1.000000000000000000e+00,5.769716668885421264e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.000000000000000000e+00,2.026651101509505892e+00,2.877094000000000040e-01,1.000000000000000000e+00,4.300454333468566558e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.000000000000000000e+00,3.026651101509505892e+00,2.529950000000000254e-01,1.000000000000000000e+00,3.249787822558131926e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.000000000000000000e+00,4.026651101509505892e+00,2.165293999999999830e-01,1.000000000000000000e+00,2.595169698235661598e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.000000000000000000e+00,5.026651101509505892e+00,1.798138000000000236e-01,9.999400000000000510e-01,2.137697498793549034e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+00,6.026651101509505892e+00,1.442145999999999983e-01,9.995100000000000096e-01,1.780783660878766834e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.000000000000000000e+00,7.026651101509505892e+00,1.109071999999999975e-01,9.967700000000000449e-01,1.497178305401215001e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,8.026651101509505892e+00,8.112220000000000542e-02,9.848999999999999977e-01,1.268966309383397217e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.026651101509505892e+00,5.587060000000000637e-02,9.438600000000000323e-01,1.083367584605009811e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.002665110150950589e+01,3.573459999999999831e-02,8.370900000000000007e-01,9.309457392755601194e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.102665110150950589e+01,2.085260000000000238e-02,6.515199999999999880e-01,8.046039002180850608e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.202665110150950589e+01,1.083779999999999986e-02,4.190400000000000236e-01,6.989460515305854485e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.302665110150950589e+01,4.930400000000000581e-03,2.190199999999999925e-01,6.098391029596998344e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.402665110150950589e+01,1.905000000000000009e-03,9.067000000000000060e-02,5.340982917952645948e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.502665110150950589e+01,6.184000000000000694e-04,3.026999999999999830e-02,4.692550111673644700e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.602665110150950767e+01,1.633999999999999873e-04,8.149999999999999259e-03,4.133830982884088476e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.702665110150950767e+01,3.660000000000000194e-05,1.830000000000000029e-03,3.649681420811680312e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.802665110150950767e+01,5.000000000000000409e-06,2.500000000000000052e-04,3.228090580607018817e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.902665110150950767e+01,1.999999999999999909e-07,1.000000000000000082e-05,2.859440380574876069e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,2.002665110150950767e+01,1.999999999999999909e-07,1.000000000000000082e-05,2.535949144926867072e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.102665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.251253899337242632e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.202665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000096597410455288e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,2.302665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.778087918113927955e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.402665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.581528768186895673e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
