SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate
-1.000000000000000000e+01,-9.733488984904941077e-01,5.000000000000000000e-01,1.000000000000000000e+00,1.165217183225320530e-01,5.188922631885119330e+01,0.000000000000000000e+00,1.000000000000000000e+00
-9.000000000000000000e+00,2.665110150950589230e-02,5.000000000000000000e-01,1.000000000000000000e+00,1.165217183225320530e-01,5.146133174682214673e+01,0.000000000000000000e+00,1.000000000000000000e+00
-8.000000000000000000e+00,1.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.165217183225320530e-01,5.081069463582736034e+01,0.000000000000000000e+00,1.000000000000000000e+00
-7.000000000000000000e+00,2.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.165217183225320530e-01,4.965313583375512962e+01,0.000000000000000000e+00,1.000000000000000000e+00
-6.000000000000000000e+00,3.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.165217183225320530e-01,4.790940656593877378e+01,0.000000000000000000e+00,1.000000000000000000e+00
-5.000000000000000000e+00,4.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.165217182799122980e-01,4.533224167708006291e+01,0.000000000000000000e+00,1.000000000000000000e+00
-4.000000000000000000e+00,5.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.165210574189481652e-01,4.221675268407025783e+01,0.000000000000000000e+00,1.000000000000000000e+00
-3.000000000000000000e+00,6.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.165289483670624987e-01,3.880589659607635156e+01,0.000000000000000000e+00,1.000000000000000000e+00
-2.000000000000000000e+00,7.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.165172956807979388e-01,3.553514014984473590e+01,0.000000000000000000e+00,1.000000000000000000e+00
-1.000000000000000000e+00,8.026651101509505892e+00,4.999919999999999920e-01,1.000000000000000000e+00,1.165498337389867245e-01,3.164298533789113321e+01,0.000000000000000000e+00,9.999700000000000255e-01
0.000000000000000000e+00,9.026651101509505892e+00,4.564159999999999884e-01,9.989799999999999791e-01,1.166013881034486249e-01,2.322878054200991116e+01,0.000000000000000000e+00,8.510600000000000387e-01
1.000000000000000000e+00,1.002665110150950589e+01,2.103420000000000012e-01,9.821699999999999875e-01,1.170445149026196341e-01,1.154527524439108888e+01,0.000000000000000000e+00,8.795000000000000040e-02
2.000000000000000000e+00,1.102665110150950589e+01,1.623648000000000036e-01,9.556000000000000050e-01,1.171385290305105853e-01,9.279687528413042230e+00,0.000000000000000000e+00,7.100000000000000191e-04
3.000000000000000000e+00,1.202665110150950589e+01,1.454023999999999872e-01,9.128699999999999593e-01,1.171411881315037179e-01,8.594054230978088071e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.302665110150950589e+01,1.311402000000000123e-01,8.608599999999999586e-01,1.171464065113195230e-01,8.078177422460449009e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.402665110150950589e+01,1.185463999999999962e-01,8.009699999999999598e-01,1.171468075431745248e-01,7.495448796187063500e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.502665110150950589e+01,1.063631999999999911e-01,7.369299999999999740e-01,1.171420823140545270e-01,7.011269511028036305e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.602665110150950767e+01,9.464820000000000177e-02,6.721000000000000307e-01,1.171464421767689917e-01,6.509870402417264224e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.702665110150950767e+01,8.274219999999998798e-02,6.012600000000000167e-01,1.171358737102313891e-01,5.853057894704227770e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.802665110150950767e+01,7.082040000000000557e-02,5.294900000000000162e-01,1.171330460557905850e-01,5.221738844723764039e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.902665110150950767e+01,5.907840000000000313e-02,4.580699999999999772e-01,1.171362423446009049e-01,4.562049720930364316e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,2.002665110150950767e+01,4.698340000000000155e-02,3.857400000000000273e-01,1.171365816690156797e-01,3.945677084638451682e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.102665110150950767e+01,3.508019999999999888e-02,3.109999999999999987e-01,1.171370221386512228e-01,3.309295619915599396e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.202665110150950767e+01,2.426920000000000119e-02,2.326799999999999979e-01,1.171391805448239731e-01,2.695920674138629458e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,2.302665110150950767e+01,1.515319999999999862e-02,1.571299999999999919e-01,1.171415988742458142e-01,2.050739386477722803e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.402665110150950767e+01,8.276799999999999088e-03,9.399000000000000410e-02,1.171414306140948630e-01,1.478405972238523214e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.502665110150950767e+01,3.983000000000000429e-03,4.939999999999999947e-02,1.171437459505806911e-01,1.101291855050307467e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,2.602665110150950767e+01,1.553400000000000137e-03,2.316000000000000003e-02,1.171415603679875350e-01,6.266366072134592624e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.702665110150950767e+01,4.825999999999999669e-04,1.018999999999999941e-02,1.171395772659602763e-01,4.091672182616594711e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,2.802665110150950767e+01,1.350000000000000017e-04,4.499999999999999660e-03,1.171448600322309158e-01,3.314626675811226941e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.902665110150950767e+01,5.160000000000000063e-05,2.340000000000000066e-03,1.171398262508650673e-01,1.851464791725783432e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,3.002665110150950767e+01,2.459999999999999825e-05,1.229999999999999974e-03,1.171394219283374838e-01,4.592623161114050417e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,3.102665110150950767e+01,1.220000000000000008e-05,6.099999999999999737e-04,1.171364577761944414e-01,4.518019477603119755e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,3.202665110150950767e+01,6.000000000000000152e-06,2.999999999999999737e-04,1.171366949698740834e-01,4.481908075808911651e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,3.302665110150950767e+01,2.200000000000000112e-06,1.100000000000000039e-04,1.171362034022917081e-01,4.462692572875834318e-02,0.000000000000000000e+00,0.000000000000000000e+00
