SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate,SNR estimation matrix (1 columns)
1.200000000000000000e+01,2.109993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.876084593658865207e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.127126082754728387e+01
1.300000000000000000e+01,2.209993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875957536331901154e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.678141935968232090e+01
1.400000000000000000e+01,2.309993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875846103917939434e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.371821011942449786e+01
1.500000000000000000e+01,2.409993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875748247844139516e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.245101372576086618e+01
1.600000000000000000e+01,2.509993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875662207647341706e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.344485151876154561e+01
1.700000000000000000e+01,2.609993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875586468107014737e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.728514921309520957e+01
1.800000000000000000e+01,2.709993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875519722860202187e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.470891247125740620e+01
1.900000000000000000e+01,2.809993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875460843579003500e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.066439746030877416e+02
2.000000000000000000e+01,2.909993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875408853889271588e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.342584064675340869e+02
2.100000000000000000e+01,3.009993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875362907310157701e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.690227198260740806e+02
2.200000000000000000e+01,3.109993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875322268591149144e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.127881766941762010e+02
2.300000000000000000e+01,3.209993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875286297912593381e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.678853749392101804e+02
2.400000000000000000e+01,3.309993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875254437495746662e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.372483601560450666e+02
2.500000000000000000e+01,3.409993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875226200238652718e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.245708732175510249e+02
2.600000000000000000e+01,3.509993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875201160054905392e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.345030542375503728e+02
2.700000000000000000e+01,3.609993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875178943644350837e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.728990781334990743e+02
2.800000000000000000e+01,3.709993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875159223468880476e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.471289092676371411e+02
2.900000000000000000e+01,3.809993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875141711743625317e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.066470777217894238e+03
3.000000000000000000e+01,3.909993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875126155285055662e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.342605274421873219e+03
3.100000000000000000e+01,4.009993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875112331083536865e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.690237388169800170e+03
3.200000000000000000e+01,4.109993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875100042489621366e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.127879592389813752e+03
3.300000000000000000e+01,4.209993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875089115921420302e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.678837701686727087e+03
3.400000000000000000e+01,4.309993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.875079398015443710e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.372451987920909687e+03
