SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate
-1.000000000000000000e+01,-9.733488984904941077e-01,5.000000000000000000e-01,1.000000000000000000e+00,2.144611055225354931e-02,5.121247414723750069e+01,0.000000000000000000e+00,1.000000000000000000e+00
-9.000000000000000000e+00,2.665110150950589230e-02,5.000000000000000000e-01,1.000000000000000000e+00,2.144611055225354931e-02,5.075196839009303318e+01,0.000000000000000000e+00,1.000000000000000000e+00
-8.000000000000000000e+00,1.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.144611055225354931e-02,4.975854538889861090e+01,0.000000000000000000e+00,1.000000000000000000e+00
-7.000000000000000000e+00,2.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.144611055225354931e-02,4.770459029276303653e+01,0.000000000000000000e+00,1.000000000000000000e+00
-6.000000000000000000e+00,3.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.144611055225354931e-02,4.498087790245357098e+01,0.000000000000000000e+00,1.000000000000000000e+00
-5.000000000000000000e+00,4.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.144611055225354931e-02,4.117309012533752366e+01,0.000000000000000000e+00,1.000000000000000000e+00
-4.000000000000000000e+00,5.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.144549177344044766e-02,3.661688353752038694e+01,0.000000000000000000e+00,1.000000000000000000e+00
-3.000000000000000000e+00,6.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.143795997062550307e-02,3.196436103059140166e+01,0.000000000000000000e+00,1.000000000000000000e+00
-2.000000000000000000e+00,7.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.145313309954027803e-02,2.733890713399725669e+01,0.000000000000000000e+00,1.000000000000000000e+00
-1.000000000000000000e+00,8.026651101509505892e+00,4.999921999999999978e-01,1.000000000000000000e+00,2.146707995228456720e-02,2.300678817626677031e+01,0.000000000000000000e+00,9.999799999999999800e-01
0.000000000000000000e+00,9.026651101509505892e+00,4.482845999999999775e-01,9.971600000000000463e-01,1.898988071137973355e-02,1.606097272408542764e+01,0.000000000000000000e+00,8.518099999999999561e-01
1.000000000000000000e+00,1.002665110150950589e+01,1.538127999999999995e-01,9.470899999999999874e-01,5.815937736098118413e-03,7.910190154556965503e+00,0.000000000000000000e+00,8.655000000000000193e-02
2.000000000000000000e+00,1.102665110150950589e+01,9.867379999999999207e-02,8.673600000000000199e-01,1.055563128085976752e-03,6.299715692990745630e+00,0.000000000000000000e+00,5.400000000000000069e-04
3.000000000000000000e+00,1.202665110150950589e+01,8.020779999999999577e-02,7.583100000000000396e-01,8.692726055392303386e-04,5.515585106088472855e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.302665110150950589e+01,6.642919999999999381e-02,6.380900000000000460e-01,8.173272454757762786e-04,4.878802779626671082e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.402665110150950589e+01,5.602199999999999541e-02,5.383099999999999552e-01,7.780717234346039681e-04,4.489869343170469485e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.502665110150950589e+01,4.691460000000000075e-02,4.583599999999999897e-01,7.451090797778365561e-04,4.034303339796252885e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.602665110150950767e+01,3.894480000000000164e-02,3.957800000000000207e-01,7.166463674663560999e-04,3.593558494896245570e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.702665110150950767e+01,3.222840000000000427e-02,3.421699999999999742e-01,6.917736605678060941e-04,3.243817268087470840e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.802665110150950767e+01,2.570400000000000115e-02,2.904999999999999805e-01,6.693156268962438711e-04,2.851803349416997424e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.902665110150950767e+01,1.995680000000000023e-02,2.409000000000000030e-01,6.498853641861930324e-04,2.505044348410055743e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,2.002665110150950767e+01,1.465660000000000053e-02,1.905100000000000127e-01,6.311787085058406192e-04,2.132700532775607005e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.102665110150950767e+01,1.012419999999999987e-02,1.442400000000000071e-01,6.140857483088460944e-04,1.784942225955969075e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.202665110150950767e+01,6.281799999999999710e-03,1.018400000000000000e-01,5.984530529917729547e-04,1.301497875046517150e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,2.302665110150950767e+01,3.628000000000000148e-03,6.540999999999999592e-02,5.847094187086100897e-04,9.935728615707983824e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.402665110150950767e+01,1.786399999999999837e-03,3.869999999999999829e-02,5.711489822731361486e-04,6.494207755762694267e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.502665110150950767e+01,7.921999999999999572e-04,2.155999999999999930e-02,5.595164837663504660e-04,3.980446347458426737e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,2.602665110150950767e+01,3.346000000000000016e-04,1.171999999999999952e-02,5.494706164739400749e-04,2.139341312180116084e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.702665110150950767e+01,1.477999999999999876e-04,6.499999999999999702e-03,5.411806761486775670e-04,5.354028856851771739e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,2.802665110150950767e+01,7.859999999999999962e-05,3.779999999999999940e-03,5.344929911157499276e-04,4.856535545015740196e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.902665110150950767e+01,5.019999999999999370e-05,2.510000000000000078e-03,5.300786295575104145e-04,4.655306112384149236e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,3.002665110150950767e+01,2.960000000000000120e-05,1.479999999999999979e-03,5.273273370977985290e-04,4.543539369258415422e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,3.102665110150950767e+01,1.620000000000000075e-05,8.099999999999999561e-04,5.255772161126585299e-04,4.484521992364527698e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,3.202665110150950767e+01,7.799999999999999859e-06,3.899999999999999929e-04,5.248694320698676962e-04,4.454106251539257516e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,3.302665110150950767e+01,3.400000000000000058e-06,1.700000000000000122e-04,5.246523407525017536e-04,4.457612870135886640e-02,0.000000000000000000e+00,0.000000000000000000e+00
