SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate
-1.000000000000000000e+01,-9.733488984904941077e-01,4.929013999999999895e-01,1.000000000000000000e+00,1.170794236507075592e-01,2.666362009485005657e+01,0.000000000000000000e+00,0.000000000000000000e+00
-9.000000000000000000e+00,2.665110150950589230e-02,4.879094000000000486e-01,1.000000000000000000e+00,1.171469000438812996e-01,2.618391444427275516e+01,0.000000000000000000e+00,0.000000000000000000e+00
-8.000000000000000000e+00,1.026651101509505892e+00,4.782044000000000294e-01,1.000000000000000000e+00,1.171945570185329993e-01,2.546303124139013718e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.000000000000000000e+00,2.026651101509505892e+00,4.617572000000000343e-01,1.000000000000000000e+00,1.172289698550156162e-01,2.434469427244392747e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.000000000000000000e+00,3.026651101509505892e+00,4.358833999999999764e-01,1.000000000000000000e+00,1.172644535905621177e-01,2.279840173263336922e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.000000000000000000e+00,4.026651101509505892e+00,4.008735999999999966e-01,1.000000000000000000e+00,1.172843492153825135e-01,2.074503009006194887e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.000000000000000000e+00,5.026651101509505892e+00,3.577730000000000077e-01,9.999900000000000455e-01,1.172980609377583666e-01,1.857105784211259447e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+00,6.026651101509505892e+00,3.130421999999999927e-01,9.999599999999999600e-01,1.172938676966012034e-01,1.628237261964792282e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.000000000000000000e+00,7.026651101509505892e+00,2.723925999999999847e-01,9.996699999999999475e-01,1.172814810742382891e-01,1.438206021729059003e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,8.026651101509505892e+00,2.378379999999999939e-01,9.983899999999999997e-01,1.172741920082623623e-01,1.279196878782764202e+01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.026651101509505892e+00,2.077304000000000095e-01,9.940099999999999492e-01,1.172732334606001736e-01,1.132114276199614267e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.002665110150950589e+01,1.832102000000000175e-01,9.808799999999999741e-01,1.172705730219252840e-01,1.030130792666560424e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.102665110150950589e+01,1.631189999999999862e-01,9.554000000000000270e-01,1.172626977518230473e-01,9.421533289822452417e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.202665110150950589e+01,1.459962000000000204e-01,9.130000000000000338e-01,1.172654007834567497e-01,8.769487246269921599e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.302665110150950589e+01,1.308905999999999958e-01,8.582300000000000484e-01,1.172541555423096404e-01,8.117260515792910525e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.402665110150950589e+01,1.173945999999999878e-01,7.990899999999999670e-01,1.172538301877099481e-01,7.509972078843647481e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.502665110150950589e+01,1.055042000000000063e-01,7.347799999999999887e-01,1.172600577625748375e-01,6.927099726799298196e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.602665110150950767e+01,9.413860000000000283e-02,6.677199999999999802e-01,1.172642209574142197e-01,6.365850861237425384e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.702665110150950767e+01,8.249499999999999889e-02,5.984099999999999975e-01,1.172636256147353007e-01,5.782820935214791014e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.802665110150950767e+01,7.097960000000000380e-02,5.278899999999999704e-01,1.172528512263535383e-01,5.180582918455828079e+00,0.000000000000000000e+00,0.000000000000000000e+00
