Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,776.0mV?,3.440V
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,2000.00000uS,2000.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-180.000000,-3080.000000
2,-180.000000,-3080.000000
3,-180.000000,-3080.000000
4,-12.000000,-3080.000000
5,128.000000,-3120.000000
6,-144.000000,-3120.000000
7,-176.000000,-3080.000000
8,-176.000000,-3080.000000
9,-180.000000,-3120.000000
10,-180.000000,-3080.000000
11,-180.000000,-3080.000000
12,-180.000000,-3080.000000
13,-180.000000,-3080.000000
14,-180.000000,-3080.000000
15,-176.000000,-3080.000000
16,-184.000000,-3080.000000
17,-180.000000,-3080.000000
18,-180.000000,-3080.000000
19,-180.000000,-3080.000000
20,-172.000000,-3120.000000
21,-180.000000,-3080.000000
22,-180.000000,-3120.000000
23,-176.000000,-3080.000000
24,-180.000000,-3080.000000
25,-176.000000,-3120.000000
26,-184.000000,-3080.000000
27,-180.000000,-3080.000000
28,-180.000000,-3080.000000
29,-64.000000,-3120.000000
30,184.000000,-3080.000000
31,-140.000000,-3080.000000
32,-180.000000,-3080.000000
33,-184.000000,-3080.000000
34,-180.000000,-3080.000000
35,-180.000000,-3080.000000
36,-184.000000,-3080.000000
37,-180.000000,-3080.000000
38,-180.000000,-3080.000000
39,-180.000000,-3080.000000
40,-180.000000,-3080.000000
41,-188.000000,-3080.000000
42,-180.000000,-3120.000000
43,-184.000000,-3080.000000
44,-176.000000,-3080.000000
45,-184.000000,-3080.000000
46,-176.000000,-3080.000000
47,-184.000000,-3080.000000
48,-180.000000,-3120.000000
49,-180.000000,-3080.000000
50,-176.000000,-3080.000000
51,-180.000000,-3080.000000
52,-176.000000,-3080.000000
53,-184.000000,-3120.000000
54,-128.000000,-3080.000000
55,192.000000,-3080.000000
56,-132.000000,-3080.000000
57,-176.000000,-3120.000000
58,-184.000000,-3080.000000
59,-180.000000,-3080.000000
60,-180.000000,-3080.000000
61,-176.000000,-3080.000000
62,-180.000000,-3080.000000
63,-180.000000,-3080.000000
64,-176.000000,-3080.000000
65,-188.000000,-3080.000000
66,-180.000000,-3080.000000
67,-180.000000,-3080.000000
68,-180.000000,-3080.000000
69,-184.000000,-3120.000000
70,-180.000000,-3080.000000
71,-184.000000,-3080.000000
72,-180.000000,-3080.000000
73,-180.000000,-3120.000000
74,-180.000000,-3120.000000
75,-180.000000,-3080.000000
76,-180.000000,-3080.000000
77,-184.000000,-3120.000000
78,-184.000000,-3120.000000
79,-180.000000,-3080.000000
80,196.000000,-3080.000000
81,-120.000000,-3080.000000
82,-168.000000,-3080.000000
83,-180.000000,-3120.000000
84,-176.000000,-3080.000000
85,-184.000000,-3080.000000
86,-180.000000,-3080.000000
87,-180.000000,-3120.000000
88,-180.000000,-3080.000000
89,-180.000000,-3120.000000
90,-180.000000,-3080.000000
91,-184.000000,-3080.000000
92,-180.000000,-3080.000000
93,-180.000000,-3120.000000
94,-184.000000,-3120.000000
95,-176.000000,-3080.000000
96,-184.000000,-3120.000000
97,-180.000000,-3080.000000
98,-180.000000,-3080.000000
99,-176.000000,-3120.000000
100,-180.000000,-3080.000000
101,-180.000000,-3080.000000
102,-184.000000,-3080.000000
103,-184.000000,-3080.000000
104,-180.000000,-3080.000000
105,188.000000,-3080.000000
106,-100.000000,-3080.000000
107,-172.000000,-3080.000000
108,-180.000000,-3080.000000
109,-180.000000,-3080.000000
110,-176.000000,-3080.000000
111,-180.000000,-3080.000000
112,-180.000000,-3080.000000
113,-180.000000,-3120.000000
114,-176.000000,-3080.000000
115,-180.000000,-3080.000000
116,-176.000000,-3080.000000
117,-180.000000,-3120.000000
118,-176.000000,-3080.000000
119,-180.000000,-3080.000000
120,-176.000000,-3080.000000
121,-180.000000,-3080.000000
122,-180.000000,-3080.000000
123,-180.000000,-3120.000000
124,-180.000000,-3080.000000
125,-180.000000,-3080.000000
126,-184.000000,-3080.000000
127,-176.000000,-3120.000000
128,-180.000000,-3080.000000
129,-180.000000,-3080.000000
130,188.000000,-3080.000000
131,-92.000000,-3080.000000
132,-168.000000,-3080.000000
133,-184.000000,-3080.000000
134,-184.000000,-3080.000000
135,-180.000000,-3120.000000
136,-176.000000,-3080.000000
137,-184.000000,-3120.000000
138,-180.000000,-3080.000000
139,-176.000000,-3080.000000
140,-180.000000,-3080.000000
141,-180.000000,-3080.000000
142,-180.000000,-3080.000000
143,-180.000000,-3080.000000
144,-180.000000,-3080.000000
145,-188.000000,-3080.000000
146,-180.000000,-3080.000000
147,-176.000000,-3080.000000
148,-180.000000,-3120.000000
149,-180.000000,-3080.000000
150,-176.000000,-3080.000000
151,-180.000000,-3080.000000
152,-180.000000,-3080.000000
153,-176.000000,-3120.000000
154,-180.000000,-3080.000000
155,184.000000,-3080.000000
156,-68.000000,-3120.000000
157,-168.000000,-3080.000000
158,-176.000000,-3120.000000
159,-176.000000,-3080.000000
160,-180.000000,-3080.000000
161,-180.000000,-3120.000000
162,-180.000000,-3120.000000
163,-176.000000,-3120.000000
164,-184.000000,-3080.000000
165,-180.000000,-3080.000000
166,-184.000000,-3080.000000
167,-180.000000,-3080.000000
168,-180.000000,-3080.000000
169,-180.000000,-3080.000000
170,-180.000000,-3120.000000
171,-180.000000,-3120.000000
172,-180.000000,-3080.000000
173,-180.000000,-3120.000000
174,-180.000000,-3080.000000
175,-184.000000,-3080.000000
176,-176.000000,-3120.000000
177,-180.000000,-3120.000000
178,-180.000000,-3080.000000
179,-184.000000,-3080.000000
180,156.000000,-3120.000000
181,216.000000,-3080.000000
182,248.000000,-3080.000000
183,252.000000,-3080.000000
184,260.000000,-3080.000000
185,256.000000,-3120.000000
186,260.000000,-3040.000000
187,256.000000,-3080.000000
188,256.000000,-3120.000000
189,256.000000,-3120.000000
190,256.000000,-3080.000000
191,260.000000,-3080.000000
192,252.000000,-3120.000000
193,256.000000,-3080.000000
194,252.000000,-3080.000000
195,252.000000,-3080.000000
196,252.000000,-3080.000000
197,252.000000,-3120.000000
198,256.000000,-3080.000000
199,256.000000,-3080.000000
200,256.000000,-3080.000000
201,160.000000,-3080.000000
202,164.000000,-3080.000000
203,160.000000,-3080.000000
204,164.000000,-3080.000000
205,168.000000,-3120.000000
206,160.000000,-3120.000000
207,156.000000,-3080.000000
208,156.000000,-3080.000000
209,160.000000,-3080.000000
210,160.000000,-3080.000000
211,164.000000,-3120.000000
212,164.000000,-3080.000000
213,164.000000,-3080.000000
214,164.000000,-3080.000000
215,156.000000,-3080.000000
216,152.000000,-3080.000000
217,160.000000,-3080.000000
218,156.000000,-3120.000000
219,164.000000,-3080.000000
220,164.000000,-3120.000000
221,164.000000,-3120.000000
222,164.000000,-3120.000000
223,160.000000,-3080.000000
224,156.000000,-3080.000000
225,160.000000,-3080.000000
226,160.000000,-3080.000000
227,160.000000,-3080.000000
228,160.000000,-3080.000000
229,164.000000,-3080.000000
230,164.000000,-3080.000000
231,168.000000,-3080.000000
232,156.000000,-3080.000000
233,156.000000,-3080.000000
234,160.000000,-3080.000000
235,160.000000,-3080.000000
236,164.000000,-3080.000000
237,164.000000,-3080.000000
238,164.000000,-3080.000000
239,164.000000,-3080.000000
240,164.000000,-3080.000000
241,156.000000,-3080.000000
242,152.000000,-3080.000000
243,160.000000,-3080.000000
244,164.000000,-3120.000000
245,168.000000,-3080.000000
246,164.000000,-3120.000000
247,180.000000,-3080.000000
248,180.000000,-3120.000000
249,184.000000,-3080.000000
250,176.000000,-3080.000000
251,184.000000,-3080.000000
252,184.000000,-3080.000000
253,180.000000,-3080.000000
254,-32.000000,-3080.000000
255,-164.000000,-3080.000000
256,-180.000000,-3080.000000
257,-184.000000,-3080.000000
258,-184.000000,-3080.000000
259,-180.000000,-3080.000000
260,-180.000000,-3080.000000
261,-180.000000,-3120.000000
262,-184.000000,-3080.000000
263,-180.000000,-3080.000000
264,-180.000000,-3080.000000
265,-192.000000,-3080.000000
266,-180.000000,-3040.000000
267,-184.000000,-3080.000000
268,-176.000000,-3080.000000
269,-180.000000,-3080.000000
270,-184.000000,-3080.000000
271,-184.000000,-3080.000000
272,-180.000000,-3080.000000
273,-180.000000,-3080.000000
274,-184.000000,-3080.000000
275,-180.000000,-3080.000000
276,-184.000000,-3080.000000
277,-176.000000,-3080.000000
278,-184.000000,-3080.000000
279,40.000000,-3080.000000
280,76.000000,-3080.000000
281,-144.000000,-3080.000000
282,-176.000000,-3080.000000
283,-184.000000,-3080.000000
284,-180.000000,-3080.000000
285,-184.000000,-3080.000000
286,-184.000000,-3080.000000
287,-184.000000,-3080.000000
288,-180.000000,-3080.000000
289,-180.000000,-3120.000000
290,-180.000000,-3080.000000
291,-180.000000,-3080.000000
292,-180.000000,-3080.000000
293,-176.000000,-3120.000000
294,-184.000000,-3080.000000
295,-184.000000,-3080.000000
296,-184.000000,-3120.000000
297,-180.000000,-3080.000000
298,-176.000000,-3080.000000
299,-180.000000,-3080.000000
300,-184.000000,-3080.000000
301,-184.000000,-3120.000000
302,-176.000000,-3120.000000
303,-180.000000,-3080.000000
304,-16.000000,-3080.000000
305,136.000000,-3120.000000
306,-152.000000,-3080.000000
307,-176.000000,-3080.000000
