Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,484.0mV,80.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,2000.00000uS,2000.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-208.000000,-3080.000000
2,-208.000000,-3080.000000
3,-212.000000,-3120.000000
4,-208.000000,-3080.000000
5,-208.000000,-3080.000000
6,-204.000000,-3080.000000
7,-212.000000,-3080.000000
8,-216.000000,-3080.000000
9,-212.000000,-3080.000000
10,-208.000000,-3120.000000
11,-212.000000,-3080.000000
12,-208.000000,-3120.000000
13,-208.000000,-3080.000000
14,-208.000000,-3080.000000
15,-208.000000,-3080.000000
16,-212.000000,-3120.000000
17,-212.000000,-3080.000000
18,-212.000000,-3080.000000
19,88.000000,-3080.000000
20,-24.000000,-3120.000000
21,-192.000000,-3080.000000
22,-212.000000,-3120.000000
23,-208.000000,-3080.000000
24,-208.000000,-3080.000000
25,-212.000000,-3120.000000
26,-212.000000,-3080.000000
27,-212.000000,-3080.000000
28,-212.000000,-3120.000000
29,-208.000000,-3080.000000
30,-208.000000,-3080.000000
31,-212.000000,-3080.000000
32,-208.000000,-3080.000000
33,-212.000000,-3120.000000
34,-216.000000,-3120.000000
35,-208.000000,-3080.000000
36,-212.000000,-3120.000000
37,-216.000000,-3120.000000
38,-208.000000,-3080.000000
39,-212.000000,-3080.000000
40,-212.000000,-3120.000000
41,-212.000000,-3080.000000
42,-208.000000,-3080.000000
43,-208.000000,-3080.000000
44,44.000000,-3080.000000
45,8.000000,-3080.000000
46,-180.000000,-3080.000000
47,-204.000000,-3080.000000
48,-212.000000,-3120.000000
49,-216.000000,-3080.000000
50,-208.000000,-3080.000000
51,-220.000000,-3080.000000
52,-208.000000,-3120.000000
53,-212.000000,-3120.000000
54,-208.000000,-3080.000000
55,-208.000000,-3080.000000
56,-208.000000,-3120.000000
57,-208.000000,-3080.000000
58,-208.000000,-3080.000000
59,-212.000000,-3120.000000
60,-208.000000,-3120.000000
61,-212.000000,-3080.000000
62,-208.000000,-3120.000000
63,-208.000000,-3120.000000
64,-208.000000,-3080.000000
65,-212.000000,-3120.000000
66,-212.000000,-3120.000000
67,-216.000000,-3080.000000
68,-212.000000,-3120.000000
69,20.000000,-3080.000000
70,40.000000,-3080.000000
71,-176.000000,-3120.000000
72,-212.000000,-3120.000000
73,-208.000000,-3080.000000
74,-208.000000,-3080.000000
75,-212.000000,-3080.000000
76,-212.000000,-3120.000000
77,-212.000000,-3120.000000
78,-208.000000,-3120.000000
79,-208.000000,-3080.000000
80,-208.000000,-3120.000000
81,-212.000000,-3120.000000
82,-212.000000,-3080.000000
83,-216.000000,-3080.000000
84,-216.000000,-3080.000000
85,-208.000000,-3080.000000
86,-212.000000,-3080.000000
87,-208.000000,-3120.000000
88,-212.000000,-3080.000000
89,-208.000000,-3120.000000
90,-212.000000,-3080.000000
91,-216.000000,-3080.000000
92,-212.000000,-3080.000000
93,-212.000000,-3080.000000
94,-16.000000,-3080.000000
95,80.000000,-3120.000000
96,-176.000000,-3120.000000
97,-204.000000,-3120.000000
98,-208.000000,-3080.000000
99,-216.000000,-3120.000000
100,-216.000000,-3080.000000
101,-212.000000,-3080.000000
102,-208.000000,-3080.000000
103,-212.000000,-3080.000000
104,-216.000000,-3120.000000
105,-212.000000,-3080.000000
106,-208.000000,-3080.000000
107,-212.000000,-3080.000000
108,-212.000000,-3120.000000
109,-212.000000,-3080.000000
110,-208.000000,-3120.000000
111,-212.000000,-3120.000000
112,-208.000000,-3080.000000
113,-212.000000,-3120.000000
114,-208.000000,-3080.000000
115,-216.000000,-3080.000000
116,-212.000000,-3120.000000
117,-208.000000,-3080.000000
118,-208.000000,-3080.000000
119,-56.000000,-3080.000000
120,132.000000,-3080.000000
121,-176.000000,-3120.000000
122,-204.000000,-3080.000000
123,-208.000000,-3080.000000
124,-212.000000,-3080.000000
125,-208.000000,-3080.000000
126,-208.000000,-3080.000000
127,-212.000000,-3080.000000
128,-212.000000,-3080.000000
129,-216.000000,-3080.000000
130,-212.000000,-3080.000000
131,-212.000000,-3080.000000
132,-212.000000,-3080.000000
133,-212.000000,-3080.000000
134,-212.000000,-3080.000000
135,-208.000000,-3080.000000
136,-216.000000,-3080.000000
137,-212.000000,-3080.000000
138,-212.000000,-3080.000000
139,-204.000000,-3120.000000
140,-212.000000,-3080.000000
141,-208.000000,-3120.000000
142,-212.000000,-3080.000000
143,-208.000000,-3080.000000
144,-104.000000,-3080.000000
145,156.000000,-3080.000000
146,-176.000000,-3080.000000
147,-204.000000,-3040.000000
148,-204.000000,-3080.000000
149,-212.000000,-3080.000000
150,-208.000000,-3080.000000
151,-212.000000,-3080.000000
152,-204.000000,-3080.000000
153,-212.000000,-3080.000000
154,-212.000000,-3080.000000
155,-212.000000,-3080.000000
156,-216.000000,-3120.000000
157,-212.000000,-3080.000000
158,-204.000000,-3040.000000
159,-212.000000,-3080.000000
160,-208.000000,-3080.000000
161,-212.000000,-3080.000000
162,-216.000000,-3080.000000
163,-208.000000,-3080.000000
164,-212.000000,-3080.000000
165,-208.000000,-3080.000000
166,-212.000000,-3080.000000
167,-212.000000,-3080.000000
168,-216.000000,-3080.000000
169,-140.000000,-3080.000000
170,160.000000,-3080.000000
171,228.000000,-3080.000000
172,244.000000,-3080.000000
173,248.000000,-3080.000000
174,248.000000,-3040.000000
175,244.000000,-3080.000000
176,248.000000,-3080.000000
177,244.000000,-3080.000000
178,248.000000,-3080.000000
179,244.000000,-3040.000000
180,244.000000,-3080.000000
181,248.000000,-3080.000000
182,244.000000,-3040.000000
183,244.000000,-3080.000000
184,244.000000,-3080.000000
185,244.000000,-3080.000000
186,244.000000,-3080.000000
187,248.000000,-3080.000000
188,244.000000,-3080.000000
189,244.000000,-3080.000000
190,244.000000,-3080.000000
191,148.000000,-3080.000000
192,140.000000,-3080.000000
193,140.000000,-3080.000000
194,144.000000,-3080.000000
195,140.000000,-3080.000000
196,144.000000,-3080.000000
197,140.000000,-3080.000000
198,144.000000,-3080.000000
199,144.000000,-3080.000000
200,128.000000,-3080.000000
201,128.000000,-3080.000000
202,140.000000,-3080.000000
203,140.000000,-3080.000000
204,144.000000,-3080.000000
205,144.000000,-3080.000000
206,148.000000,-3080.000000
207,144.000000,-3080.000000
208,140.000000,-3080.000000
209,132.000000,-3040.000000
210,132.000000,-3080.000000
211,140.000000,-3080.000000
212,136.000000,-3080.000000
213,140.000000,-3080.000000
214,140.000000,-3080.000000
215,140.000000,-3080.000000
216,136.000000,-3080.000000
217,136.000000,-3080.000000
218,132.000000,-3080.000000
219,140.000000,-3080.000000
220,136.000000,-3040.000000
221,140.000000,-3080.000000
222,140.000000,-3080.000000
223,144.000000,-3080.000000
224,144.000000,-3080.000000
225,140.000000,-3080.000000
226,136.000000,-3080.000000
227,136.000000,-3080.000000
228,136.000000,-3080.000000
229,136.000000,-3080.000000
230,136.000000,-3080.000000
231,140.000000,-3080.000000
232,140.000000,-3080.000000
233,140.000000,-3080.000000
234,136.000000,-3080.000000
235,132.000000,-3040.000000
236,136.000000,-3080.000000
237,208.000000,-3080.000000
238,-136.000000,-3080.000000
239,-216.000000,-3080.000000
240,-224.000000,-3080.000000
241,-224.000000,-3080.000000
242,-224.000000,-3080.000000
243,-220.000000,-3080.000000
244,-224.000000,-3080.000000
245,-224.000000,-3080.000000
246,-104.000000,-3040.000000
247,-208.000000,-3080.000000
248,-220.000000,-3080.000000
249,-224.000000,-3080.000000
250,-220.000000,-3040.000000
251,-224.000000,-3080.000000
252,-224.000000,-3080.000000
253,-216.000000,-3080.000000
254,-164.000000,-3080.000000
255,-212.000000,-3080.000000
256,-224.000000,-3080.000000
257,-220.000000,-3080.000000
258,-224.000000,-3080.000000
259,-220.000000,-3080.000000
260,-220.000000,-3080.000000
261,36.000000,-3040.000000
262,-196.000000,-3080.000000
263,-220.000000,-3080.000000
264,-220.000000,-3080.000000
265,-220.000000,-3080.000000
266,-220.000000,-3080.000000
267,-220.000000,-3080.000000
268,-220.000000,-3080.000000
269,-88.000000,-3080.000000
270,-212.000000,-3040.000000
271,-220.000000,-3080.000000
272,-216.000000,-3040.000000
273,-220.000000,-3080.000000
274,-220.000000,-3080.000000
275,-220.000000,-3040.000000
276,-216.000000,-3080.000000
277,-160.000000,-3080.000000
278,-212.000000,-3080.000000
279,-224.000000,-3080.000000
280,-220.000000,-3080.000000
281,-220.000000,-3080.000000
282,-220.000000,-3080.000000
283,-220.000000,-3080.000000
284,16.000000,-3080.000000
285,-188.000000,-3080.000000
286,-224.000000,-3080.000000
287,-224.000000,-3080.000000
288,-224.000000,-3080.000000
289,-220.000000,-3080.000000
290,-220.000000,-3080.000000
291,-220.000000,-3080.000000
292,-84.000000,-3080.000000
293,-204.000000,-3080.000000
294,-220.000000,-3080.000000
295,-220.000000,-3080.000000
296,-224.000000,-3040.000000
297,-220.000000,-3080.000000
298,-220.000000,-3080.000000
299,-220.000000,-3080.000000
300,-200.000000,-3040.000000
301,-220.000000,-3080.000000
302,-216.000000,-3080.000000
303,-216.000000,-3080.000000
304,-124.000000,-3080.000000
305,136.000000,-3080.000000
306,156.000000,-3080.000000
307,160.000000,-3080.000000
