Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,468.0mV,120.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,400.00000uS,400.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-204.000000,-3080.000000
2,-204.000000,-3080.000000
3,-204.000000,-3080.000000
4,-204.000000,-3080.000000
5,-204.000000,-3080.000000
6,-200.000000,-3080.000000
7,-204.000000,-3080.000000
8,-204.000000,-3080.000000
9,-204.000000,-3080.000000
10,-204.000000,-3080.000000
11,-204.000000,-3080.000000
12,-204.000000,-3080.000000
13,-204.000000,-3040.000000
14,-204.000000,-3080.000000
15,-204.000000,-3080.000000
16,-204.000000,-3040.000000
17,-204.000000,-3080.000000
18,-204.000000,-3080.000000
19,-88.000000,-3080.000000
20,52.000000,-3080.000000
21,-24.000000,-3040.000000
22,-88.000000,-3080.000000
23,-128.000000,-3080.000000
24,-156.000000,-3080.000000
25,-172.000000,-3080.000000
26,-184.000000,-3080.000000
27,-192.000000,-3080.000000
28,-196.000000,-3080.000000
29,-200.000000,-3080.000000
30,-200.000000,-3080.000000
31,-200.000000,-3080.000000
32,-204.000000,-3080.000000
33,-204.000000,-3080.000000
34,-204.000000,-3080.000000
35,-204.000000,-3080.000000
36,-204.000000,-3080.000000
37,-200.000000,-3080.000000
38,-204.000000,-3080.000000
39,-204.000000,-3080.000000
40,-204.000000,-3080.000000
41,-204.000000,-3080.000000
42,-204.000000,-3080.000000
43,-204.000000,-3080.000000
44,-204.000000,-3080.000000
45,-204.000000,-3080.000000
46,-204.000000,-3080.000000
47,-204.000000,-3080.000000
48,-204.000000,-3080.000000
49,-204.000000,-3080.000000
50,-204.000000,-3080.000000
51,-204.000000,-3080.000000
52,-200.000000,-3040.000000
53,-204.000000,-3080.000000
54,-204.000000,-3080.000000
55,-204.000000,-3040.000000
56,-204.000000,-3080.000000
57,-172.000000,-3080.000000
58,4.000000,-3080.000000
59,12.000000,-3080.000000
60,-68.000000,-3080.000000
61,-116.000000,-3080.000000
62,-148.000000,-3080.000000
63,-168.000000,-3080.000000
64,-184.000000,-3080.000000
65,-188.000000,-3080.000000
66,-196.000000,-3040.000000
67,-196.000000,-3080.000000
68,-200.000000,-3080.000000
69,-200.000000,-3080.000000
70,-200.000000,-3080.000000
71,-200.000000,-3040.000000
72,-200.000000,-3080.000000
73,-204.000000,-3080.000000
74,-204.000000,-3040.000000
75,-204.000000,-3040.000000
76,-204.000000,-3080.000000
77,-204.000000,-3080.000000
78,-204.000000,-3040.000000
79,-204.000000,-3080.000000
80,-204.000000,-3040.000000
81,-204.000000,-3080.000000
82,-204.000000,-3040.000000
83,-200.000000,-3080.000000
84,-204.000000,-3080.000000
85,-204.000000,-3040.000000
86,-200.000000,-3040.000000
87,-204.000000,-3080.000000
88,-200.000000,-3080.000000
89,-204.000000,-3040.000000
90,-204.000000,-3080.000000
91,-204.000000,-3080.000000
92,-204.000000,-3040.000000
93,-204.000000,-3040.000000
94,-204.000000,-3080.000000
95,-204.000000,-3080.000000
96,-52.000000,-3040.000000
97,52.000000,-3040.000000
98,-40.000000,-3080.000000
99,-96.000000,-3040.000000
100,-136.000000,-3040.000000
101,-160.000000,-3080.000000
102,-180.000000,-3080.000000
103,-184.000000,-3040.000000
104,-188.000000,-3080.000000
105,-196.000000,-3080.000000
106,-200.000000,-3040.000000
107,-200.000000,-3080.000000
108,-200.000000,-3080.000000
109,-200.000000,-3040.000000
110,-200.000000,-3080.000000
111,-204.000000,-3040.000000
112,-204.000000,-3040.000000
113,-204.000000,-3040.000000
114,-204.000000,-3080.000000
115,-204.000000,-3080.000000
116,-204.000000,-3040.000000
117,-204.000000,-3080.000000
118,-200.000000,-3080.000000
119,-204.000000,-3040.000000
120,-204.000000,-3080.000000
121,-204.000000,-3040.000000
122,-204.000000,-3080.000000
123,-204.000000,-3040.000000
124,-200.000000,-3080.000000
125,-204.000000,-3040.000000
126,-204.000000,-3040.000000
127,-204.000000,-3040.000000
128,-204.000000,-3040.000000
129,-204.000000,-3040.000000
130,-204.000000,-3040.000000
131,-204.000000,-3080.000000
132,-204.000000,-3040.000000
133,-204.000000,-3040.000000
134,-128.000000,-3080.000000
135,28.000000,-3080.000000
136,-8.000000,-3080.000000
137,-80.000000,-3080.000000
138,-124.000000,-3080.000000
139,-148.000000,-3080.000000
140,-172.000000,-3040.000000
141,-180.000000,-3040.000000
142,-188.000000,-3040.000000
143,-196.000000,-3040.000000
144,-196.000000,-3080.000000
145,-200.000000,-3040.000000
146,-200.000000,-3040.000000
147,-200.000000,-3080.000000
148,-200.000000,-3080.000000
149,-200.000000,-3080.000000
150,-204.000000,-3080.000000
151,-204.000000,-3040.000000
152,-200.000000,-3040.000000
153,-204.000000,-3080.000000
154,-204.000000,-3040.000000
155,-204.000000,-3080.000000
156,-204.000000,-3080.000000
157,-204.000000,-3080.000000
158,-204.000000,-3080.000000
159,-204.000000,-3080.000000
160,-204.000000,-3080.000000
161,-204.000000,-3040.000000
162,-204.000000,-3080.000000
163,-200.000000,-3080.000000
164,-204.000000,-3080.000000
165,-204.000000,-3080.000000
166,-200.000000,-3040.000000
167,-204.000000,-3080.000000
168,-204.000000,-3080.000000
169,-204.000000,-3040.000000
170,-204.000000,-3040.000000
171,-200.000000,-3080.000000
172,-200.000000,-3080.000000
173,-24.000000,-3040.000000
174,28.000000,-3080.000000
175,-52.000000,-3080.000000
176,-104.000000,-3040.000000
177,-140.000000,-3080.000000
178,-164.000000,-3040.000000
179,-180.000000,-3080.000000
180,-188.000000,-3040.000000
181,-192.000000,-3080.000000
182,-196.000000,-3040.000000
183,-200.000000,-3040.000000
184,-200.000000,-3040.000000
185,-200.000000,-3080.000000
186,-204.000000,-3080.000000
187,-200.000000,-3080.000000
188,-204.000000,-3040.000000
189,-200.000000,-3040.000000
190,-200.000000,-3040.000000
191,-204.000000,-3080.000000
192,-204.000000,-3080.000000
193,-200.000000,-3040.000000
194,-204.000000,-3080.000000
195,-200.000000,-3040.000000
196,-200.000000,-3040.000000
197,-204.000000,-3080.000000
198,-204.000000,-3080.000000
199,-200.000000,-3080.000000
200,-200.000000,-3040.000000
201,-200.000000,-3040.000000
202,-200.000000,-3080.000000
203,-204.000000,-3040.000000
204,-204.000000,-3080.000000
205,-204.000000,-3040.000000
206,-204.000000,-3080.000000
207,-200.000000,-3080.000000
208,-200.000000,-3040.000000
209,-200.000000,-3080.000000
210,-204.000000,-3040.000000
211,-84.000000,-3040.000000
212,52.000000,-3080.000000
213,-24.000000,-3040.000000
214,-88.000000,-3080.000000
215,-128.000000,-3080.000000
216,-152.000000,-3040.000000
217,-172.000000,-3040.000000
218,-184.000000,-3040.000000
219,-192.000000,-3040.000000
220,-196.000000,-3040.000000
221,-196.000000,-3040.000000
222,-200.000000,-3040.000000
223,-200.000000,-3040.000000
224,-200.000000,-3040.000000
225,-200.000000,-3080.000000
226,-204.000000,-3040.000000
227,-200.000000,-3080.000000
228,-204.000000,-3080.000000
229,-204.000000,-3080.000000
230,-200.000000,-3040.000000
231,-200.000000,-3080.000000
232,-204.000000,-3040.000000
233,-200.000000,-3040.000000
234,-204.000000,-3080.000000
235,-204.000000,-3080.000000
236,-204.000000,-3040.000000
237,-200.000000,-3080.000000
238,-204.000000,-3040.000000
239,-204.000000,-3040.000000
240,-204.000000,-3040.000000
241,-200.000000,-3040.000000
242,-200.000000,-3080.000000
243,-204.000000,-3080.000000
244,-204.000000,-3040.000000
245,-204.000000,-3040.000000
246,-200.000000,-3080.000000
247,-204.000000,-3080.000000
248,-204.000000,-3040.000000
249,-168.000000,-3040.000000
250,-124.000000,-3080.000000
251,-156.000000,-3040.000000
252,-172.000000,-3040.000000
253,-184.000000,-3040.000000
254,-192.000000,-3040.000000
255,-196.000000,-3080.000000
256,-196.000000,-3080.000000
257,-200.000000,-3080.000000
258,-204.000000,-3080.000000
259,-172.000000,-3080.000000
260,-184.000000,-3080.000000
261,-192.000000,-3080.000000
262,-196.000000,-3080.000000
263,-200.000000,-3080.000000
264,-200.000000,-3040.000000
265,-204.000000,-3040.000000
266,-204.000000,-3080.000000
267,-200.000000,-3080.000000
268,-200.000000,-3080.000000
269,-204.000000,-3040.000000
270,-200.000000,-3040.000000
271,-204.000000,-3040.000000
272,-200.000000,-3040.000000
273,-184.000000,-3080.000000
274,-164.000000,-3080.000000
275,-176.000000,-3040.000000
276,-184.000000,-3080.000000
277,-188.000000,-3040.000000
278,-188.000000,-3040.000000
279,-188.000000,-3040.000000
280,-192.000000,-3080.000000
281,-196.000000,-3040.000000
282,-192.000000,-3040.000000
283,-196.000000,-3040.000000
284,-196.000000,-3040.000000
285,-196.000000,-3040.000000
286,-192.000000,-3040.000000
287,-196.000000,-3080.000000
288,-192.000000,-3080.000000
289,-192.000000,-3080.000000
290,-196.000000,-3040.000000
291,-192.000000,-3080.000000
292,-196.000000,-3080.000000
293,-196.000000,-3080.000000
294,-192.000000,-3040.000000
295,-196.000000,-3040.000000
296,-196.000000,-3040.000000
297,-196.000000,-3040.000000
298,-196.000000,-3080.000000
299,-192.000000,-3040.000000
300,-192.000000,-3040.000000
301,-192.000000,-3040.000000
302,-192.000000,-3080.000000
