SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate,SNR estimation matrix (10 columns)
-1.000000000000000000e+01,-9.000670252082301204e-01,5.000000000000000000e-01,1.000000000000000000e+00,1.572596942963162270e-01,4.093355769567311654e+03,0.000000000000000000e+00,1.000000000000000000e+00,1.371096495019561989e-01,1.448540406392709312e-01,1.424657806869916166e-01,1.240786167201031603e-01,1.514644190512952904e-01,1.536453654779251776e-01,1.341026581048553046e-01,1.396848390006149854e-01,1.260504377530016207e-01,1.429094982930913804e-01
-9.000000000000000000e+00,9.993297479176987963e-02,5.000000000000000000e-01,1.000000000000000000e+00,1.572596942963162270e-01,4.009784314063849706e+03,0.000000000000000000e+00,1.000000000000000000e+00,1.726722324014444421e-01,1.810222260766663205e-01,1.781890343324710191e-01,1.598579443396312139e-01,1.876418832029866923e-01,1.896789665082959098e-01,1.698384342665474056e-01,1.755469617956296191e-01,1.617174581799278310e-01,1.785780769265256918e-01
-8.000000000000000000e+00,1.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.572596942963162270e-01,4.105627711599043323e+03,0.000000000000000000e+00,1.000000000000000000e+00,2.174950798409979735e-01,2.265257966970312953e-01,2.231836960926644742e-01,2.048397566663989200e-01,2.331633127049161092e-01,2.350448273334753424e-01,2.148073512707403543e-01,2.206900598774524380e-01,2.066202267423842276e-01,2.235291581581639320e-01
-7.000000000000000000e+00,2.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.572596942963162270e-01,3.921500437492006313e+03,0.000000000000000000e+00,1.000000000000000000e+00,2.739822811157134885e-01,2.837783241720220895e-01,2.798530228318751867e-01,2.613992829605327750e-01,2.904452534027754940e-01,2.921595809105549946e-01,2.713976916173703735e-01,2.775166486644848884e-01,2.631501891553234551e-01,2.801719532954111691e-01
-6.000000000000000000e+00,3.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.572596942963162270e-01,3.539388551757562709e+03,0.000000000000000000e+00,1.000000000000000000e+00,3.451611832122259416e-01,3.558178763252417554e-01,3.512228594004725979e-01,3.325258410451122359e-01,3.625296086921824812e-01,3.640656211317516155e-01,3.426158299536556928e-01,3.490512474226894479e-01,3.343180048320870124e-01,3.515401797115808025e-01
-5.000000000000000000e+00,4.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.572596942963162270e-01,3.051700597873667448e+03,0.000000000000000000e+00,1.000000000000000000e+00,4.348438631467069770e-01,4.464686614966167921e-01,4.411028819443154059e-01,4.219817283017833209e-01,4.532455178462770351e-01,4.545931321782650802e-01,4.322462366205014894e-01,4.391014237130881348e-01,4.239138772079745210e-01,4.414538468346052014e-01
-4.000000000000000000e+00,5.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.572596942963162270e-01,1.870838057946892150e+03,0.000000000000000000e+00,1.000000000000000000e+00,5.478304212570751508e-01,5.605445202018380924e-01,5.542895960002008904e-01,5.345022398807179886e-01,5.674131434596708656e-01,5.685640717981675918e-01,5.450529056580362131e-01,5.524605354233630417e-01,5.367093973020466979e-01,5.547229431047038251e-01
-3.000000000000000000e+00,6.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.391006621097669316e-01,2.787943098190854130e+02,0.000000000000000000e+00,1.000000000000000000e+00,6.901649254003172640e-01,7.041050986153869484e-01,6.968219013284878693e-01,6.760474613259072063e-01,7.111002186575003936e-01,7.120489714474175225e-01,6.870329325147297439e-01,6.951629668674944584e-01,6.787116491159921328e-01,6.974038744167734283e-01
-2.000000000000000000e+00,7.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.221183174393073168e-01,7.905694150384968977e-02,0.000000000000000000e+00,1.000000000000000000e+00,8.694576403367210160e-01,8.847783436418968916e-01,8.763028349885678692e-01,8.541192394393197773e-01,8.919450141257860842e-01,8.926902288948771469e-01,8.657357436466979195e-01,8.748054509239860943e-01,8.574831084272266368e-01,8.771223142001656203e-01
-1.000000000000000000e+00,8.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.649988563780034057e-01,7.905694150384968977e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.095290707048911516e+00,1.112166490911284278e+00,1.102304628598920866e+00,1.078160205562795904e+00,1.119562921833864522e+00,1.120109109802097880e+00,1.090664976133989272e+00,1.100951588497366407e+00,1.082544370002341383e+00,1.103479662433662467e+00
0.000000000000000000e+00,9.099932974791769880e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.759539720917923100e-01,8.838834764811244471e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.379728881361690140e+00,1.398357163002740267e+00,1.386878652730583195e+00,1.360056094344318289e+00,1.406058304879391763e+00,1.406418132495258932e+00,1.373784406537383873e+00,1.385641107149010232e+00,1.365881148758256725e+00,1.388564763920704603e+00
1.000000000000000000e+00,1.009993297479176988e+01,5.229687499999999961e-02,1.000000000000000000e+00,3.137808317316712753e-02,8.838834764830870439e-02,0.000000000000000000e+00,1.000000000000000056e-01,1.737962536697210680e+00,1.758566792330313211e+00,1.745197407247671029e+00,1.714768101123778532e+00,1.766668868293018502e+00,1.766866122010539275e+00,1.730154868828292836e+00,1.744030978500072493e+00,1.722582552728427308e+00,1.747598142208441674e+00
