SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate
-1.000000000000000000e+01,-9.733488984904941077e-01,4.916010000000000102e-01,1.000000000000000000e+00,5.355982445135444581e-02,2.664837898153909990e+01,0.000000000000000000e+00,0.000000000000000000e+00
-9.000000000000000000e+00,2.665110150950589230e-02,4.845091999999999732e-01,1.000000000000000000e+00,4.873341209590992262e-02,2.603129434870161774e+01,0.000000000000000000e+00,0.000000000000000000e+00
-8.000000000000000000e+00,1.026651101509505892e+00,4.717604000000000242e-01,1.000000000000000000e+00,4.319857841815875898e-02,2.499754381371839074e+01,0.000000000000000000e+00,0.000000000000000000e+00
-7.000000000000000000e+00,2.026651101509505892e+00,4.501740000000000186e-01,1.000000000000000000e+00,3.712893530700200201e-02,2.357180547020177031e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.000000000000000000e+00,3.026651101509505892e+00,4.171758000000000410e-01,1.000000000000000000e+00,3.078505586870464855e-02,2.167666769103516344e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.000000000000000000e+00,4.026651101509505892e+00,3.727558000000000260e-01,1.000000000000000000e+00,2.475281326062949219e-02,1.921616694023787986e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.000000000000000000e+00,5.026651101509505892e+00,3.209763999999999950e-01,1.000000000000000000e+00,1.950800537015062036e-02,1.658576235717895031e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+00,6.026651101509505892e+00,2.697093999999999880e-01,9.999400000000000510e-01,1.552319554880620886e-02,1.399180096409168250e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.000000000000000000e+00,7.026651101509505892e+00,2.227627999999999830e-01,9.992499999999999716e-01,1.263538755438997283e-02,1.173033059796279964e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000000e+00,8.026651101509505892e+00,1.824390000000000178e-01,9.955699999999999550e-01,1.051380598291928176e-02,9.931309738648725016e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.026651101509505892e+00,1.481086000000000069e-01,9.805399999999999672e-01,8.893740743776830729e-03,8.378161073215444787e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.002665110150950589e+01,1.211228000000000027e-01,9.416299999999999670e-01,7.601136622421508955e-03,7.278877607073988898e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.102665110150950589e+01,9.857120000000001159e-02,8.659900000000000375e-01,6.547660620669444945e-03,6.328551905354459883e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.202665110150950589e+01,8.059159999999999935e-02,7.565499999999999448e-01,5.676015409131263123e-03,5.658311778923735602e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.302665110150950589e+01,6.715079999999999660e-02,6.394400000000000084e-01,4.945992536841245686e-03,5.129311494367210678e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.402665110150950589e+01,5.630560000000000426e-02,5.372599999999999598e-01,4.328281450311831889e-03,4.699076039498843116e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.502665110150950589e+01,4.760459999999999692e-02,4.569900000000000073e-01,3.801005951724914685e-03,4.286092771976770521e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.602665110150950767e+01,3.972619999999999624e-02,3.961600000000000121e-01,3.347545802897838006e-03,3.851993477407563038e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.702665110150950767e+01,3.271199999999999802e-02,3.417499999999999982e-01,2.955080934400563554e-03,3.443982909545299620e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.802665110150950767e+01,2.595559999999999881e-02,2.899100000000000010e-01,2.613583030536942818e-03,3.007261134528218083e+00,0.000000000000000000e+00,0.000000000000000000e+00
