SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate,SNR estimation matrix (1 columns)
3.000000000000000000e+00,1.209993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.415374413034442159e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.701574377046551234e+00
4.000000000000000000e+00,1.309993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.157454516305733682e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.410464584676125011e+00
5.000000000000000000e+00,1.409993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.060754310805350341e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.303115127529141937e+00
6.000000000000000000e+00,1.509993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.879983037815691186e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.427131907831539870e+00
7.000000000000000000e+00,1.609993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.026280702320946185e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.842450296429247736e+00
8.000000000000000000e+00,1.709993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.772401212689146420e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.624527884966449065e+00
9.000000000000000000e+00,1.809993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.218038447535946036e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.086836393690022895e+01
1.000000000000000000e+01,1.909993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.440779612737969553e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.369355957432805226e+01
1.100000000000000000e+01,2.009993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.500688308597091460e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.725068814375467596e+01
1.200000000000000000e+01,2.109993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.444001149591713469e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.172931494742080716e+01
1.300000000000000000e+01,2.209993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.306089261783199588e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.736809331461200401e+01
1.400000000000000000e+01,2.309993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.113818202331458461e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.446747448301585592e+01
1.500000000000000000e+01,2.409993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.887420362520060485e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.340570782962704754e+01
1.600000000000000000e+01,2.509993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.641975169888610463e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.465898301047209173e+01
1.700000000000000000e+01,2.609993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.388575534372648867e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.882678581200698886e+01
1.800000000000000000e+01,2.709993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.135244392888125899e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.666381663821861991e+01
1.900000000000000000e+01,2.809993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.887652910720135013e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.091201691943485912e+02
2.000000000000000000e+01,2.909993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.649681717044586498e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.373919054563544933e+02
2.100000000000000000e+01,3.009993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.423858227330128864e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.729847144844345905e+02
2.200000000000000000e+01,3.109993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.211696360289351903e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.177940359338926157e+02
2.300000000000000000e+01,3.209993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.013959528663690387e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.742059003895339515e+02
2.400000000000000000e+01,3.309993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.830863436502113640e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.452238330778689601e+02
2.500000000000000000e+01,3.409993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.662231748301565070e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.346285414365612496e+02
2.600000000000000000e+01,3.509993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.507614938152983165e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.471788305280515488e+02
2.700000000000000000e+01,3.609993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.366380439054410049e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.888643502664410789e+02
2.800000000000000000e+01,3.709993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.237780479907087340e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672234821520802370e+02
2.900000000000000000e+01,3.809993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.121002627540292420e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.091743052359361627e+03
3.000000000000000000e+01,3.909993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.015206968910206262e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.374360773061692498e+03
3.100000000000000000e+01,4.009993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.195530149845580582e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.730096558409528143e+03
3.200000000000000000e+01,4.109993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.332187351261382502e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.177845366070414457e+03
3.300000000000000000e+01,4.209993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.554136011240188574e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.741372248917959496e+03
3.400000000000000000e+01,4.309993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.853871035618794623e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.450560170328466029e+03
