;Scopy version,f4beeb1
;Exported on,vendredi octobre 11/10/2024
;Device,M2K
;Nr of samples,114688
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
194,-0.7998,0.0579617
195,-0.7997,0.0579617
196,-0.7996,0.0579617
197,-0.7995,0.0579617
198,-0.7994,0.0579617
199,-0.7993,0.0579617
200,-0.7992,0.0579617
201,-0.7991,0.0579617
202,-0.799,0.0579617
203,-0.7989,0.0579617
204,-0.7988,0.0579617
205,-0.7987,0.0579617
206,-0.7986,0.0579617
207,-0.7985,0.0579617
208,-0.7984,0.0579617
209,-0.7983,0.0579617
210,-0.7982,0.0579617
211,-0.7981,0.0579617
212,-0.798,0.0579617
213,-0.7979,0.0579617
214,-0.7978,0.0579617
215,-0.7977,0.0579617
216,-0.7976,0.0579617
217,-0.7975,0.0579617
218,-0.7974,0.0579617
219,-0.7973,0.0579617
220,-0.7972,0.0579617
221,-0.7971,0.0579617
222,-0.797,0.0579617
223,-0.7969,0.0579617
224,-0.7968,0.0579617
225,-0.7967,0.0579617
226,-0.7966,0.0579617
227,-0.7965,0.0579617
228,-0.7964,0.0579617
229,-0.7963,0.0579617
230,-0.7962,0.0579617
231,-0.7961,0.0579617
232,-0.796,0.0579617
233,-0.7959,0.0579617
234,-0.7958,0.0579617
235,-0.7957,0.0579617
236,-0.7956,0.0579617
237,-0.7955,0.0579617
238,-0.7954,0.0579617
239,-0.7953,0.0579617
240,-0.7952,0.0579617
241,-0.7951,0.0579617
242,-0.795,0.0579617
243,-0.7949,0.0579617
244,-0.7948,0.0579617
245,-0.7947,0.0579617
246,-0.7946,0.0579617
247,-0.7945,0.0579617
248,-0.7944,0.0579617
249,-0.7943,0.0579617
250,-0.7942,0.0579617
251,-0.7941,0.0579617
252,-0.794,0.0579617
253,-0.7939,0.0579617
254,-0.7938,0.0579617
255,-0.7937,0.0579617
256,-0.7936,0.0579617
257,-0.7935,0.0579617
258,-0.7934,0.0579617
259,-0.7933,0.0579617
260,-0.7932,0.0579617
261,-0.7931,0.0579617
262,-0.793,0.0579617
263,-0.7929,0.0579617
264,-0.7928,0.0579617
265,-0.7927,0.0579617
266,-0.7926,0.0579617
267,-0.7925,0.0579617
268,-0.7924,0.0579617
269,-0.7923,0.0579617
270,-0.7922,0.0579617
271,-0.7921,0.0579617
272,-0.792,0.0579617
273,-0.7919,0.0579617
274,-0.7918,0.0579617
275,-0.7917,0.0579617
276,-0.7916,0.0579617
277,-0.7915,0.0579617
278,-0.7914,0.0579617
279,-0.7913,0.0579617
280,-0.7912,0.0579617
281,-0.7911,0.0579617
282,-0.791,0.0579617
283,-0.7909,0.0579617
284,-0.7908,0.0579617
285,-0.7907,0.0579617
286,-0.7906,0.0579617
287,-0.7905,0.0579617
288,-0.7904,0.0579617
289,-0.7903,0.0579617
290,-0.7902,0.0579617
291,-0.7901,0.0579617
292,-0.79,0.0579617
293,-0.7899,0.0579617
294,-0.7898,0.0579617
295,-0.7897,0.0579617
296,-0.7896,0.0579617
297,-0.7895,0.0579617
298,-0.7894,0.0579617
299,-0.7893,0.0579617
300,-0.7892,0.0579617
301,-0.7891,0.0579617
302,-0.789,0.0579617
303,-0.7889,0.0579617
304,-0.7888,0.0579617
305,-0.7887,0.0579617
306,-0.7886,0.0579617
307,-0.7885,0.0579617
308,-0.7884,0.0579617
309,-0.7883,0.0579617
310,-0.7882,0.0579617
311,-0.7881,0.0579617
312,-0.788,0.0579617
313,-0.7879,0.0579617
314,-0.7878,0.0579617
315,-0.7877,0.0579617
316,-0.7876,0.0579617
317,-0.7875,0.0579617
318,-0.7874,0.0579617
319,-0.7873,0.0579617
320,-0.7872,0.0579617
321,-0.7871,0.0579617
322,-0.787,0.0579617
323,-0.7869,0.0579617
324,-0.7868,0.0579617
325,-0.7867,0.0579617
326,-0.7866,0.0579617
327,-0.7865,0.0579617
328,-0.7864,0.0579617
329,-0.7863,0.0579617
330,-0.7862,0.0579617
331,-0.7861,0.0579617
332,-0.786,0.0579617
333,-0.7859,0.0579617
334,-0.7858,0.0579617
335,-0.7857,0.0579617
336,-0.7856,0.0579617
337,-0.7855,0.0579617
338,-0.7854,0.0579617
339,-0.7853,0.0579617
340,-0.7852,0.0579617
341,-0.7851,0.0579617
342,-0.785,0.0579617
343,-0.7849,0.0579617
344,-0.7848,0.0579617
345,-0.7847,0.0579617
346,-0.7846,0.0579617
347,-0.7845,0.0579617
348,-0.7844,0.0579617
349,-0.7843,0.0579617
350,-0.7842,0.0579617
351,-0.7841,0.0579617
352,-0.784,0.0579617
353,-0.7839,0.0579617
354,-0.7838,0.0579617
355,-0.7837,0.0579617
356,-0.7836,0.0579617
357,-0.7835,0.0579617
358,-0.7834,0.0579617
359,-0.7833,0.0579617
360,-0.7832,0.0579617
361,-0.7831,0.0579617
362,-0.783,0.0579617
363,-0.7829,0.0579617
364,-0.7828,0.0579617
365,-0.7827,0.0579617
366,-0.7826,0.0579617
367,-0.7825,0.0579617
368,-0.7824,0.0579617
369,-0.7823,0.0579617
370,-0.7822,0.0579617
371,-0.7821,0.0579617
372,-0.782,0.0579617
373,-0.7819,0.0579617
374,-0.7818,0.0579617
375,-0.7817,0.0579617
376,-0.7816,0.0579617
377,-0.7815,0.0579617
378,-0.7814,0.0579617
379,-0.7813,0.0579617
380,-0.7812,0.0579617
381,-0.7811,0.0579617
382,-0.781,0.0579617
383,-0.7809,0.0579617
384,-0.7808,0.0579617
385,-0.7807,0.0579617
386,-0.7806,0.0579617
387,-0.7805,0.0579617
388,-0.7804,0.0579617
389,-0.7803,0.0579617
390,-0.7802,0.0579617
391,-0.7801,0.0579617
392,-0.78,0.0579617
393,-0.7799,0.0579617
394,-0.7798,0.0579617
395,-0.7797,0.0579617
396,-0.7796,0.0579617
397,-0.7795,0.0579617
398,-0.7794,0.0579617
399,-0.7793,0.0579617
400,-0.7792,0.0579617
401,-0.7791,0.0579617
402,-0.779,0.0579617
403,-0.7789,0.0579617
404,-0.7788,0.0579617
405,-0.7787,0.0579617
406,-0.7786,0.0579617
407,-0.7785,0.0579617
408,-0.7784,0.0579617
409,-0.7783,0.0579617
410,-0.7782,0.0579617
411,-0.7781,0.0579617
412,-0.778,0.0579617
413,-0.7779,0.0579617
414,-0.7778,0.0579617
415,-0.7777,0.0579617
416,-0.7776,0.0579617
417,-0.7775,0.0579617
418,-0.7774,0.0579617
419,-0.7773,0.0579617
420,-0.7772,0.0579617
421,-0.7771,0.0579617
422,-0.777,0.0579617
423,-0.7769,0.0579617
424,-0.7768,0.0579617
425,-0.7767,0.0579617
426,-0.7766,0.0579617
427,-0.7765,0.0579617
428,-0.7764,0.0579617
429,-0.7763,0.0579617
430,-0.7762,0.0579617
431,-0.7761,0.0579617
432,-0.776,0.0579617
433,-0.7759,0.0579617
434,-0.7758,0.0579617
435,-0.7757,0.0579617
436,-0.7756,0.0579617
437,-0.7755,0.0579617
438,-0.7754,0.0579617
439,-0.7753,0.0579617
440,-0.7752,0.0579617
441,-0.7751,0.0579617
442,-0.775,0.0579617
443,-0.7749,0.0579617
444,-0.7748,0.0579617
445,-0.7747,0.0579617
446,-0.7746,0.0579617
447,-0.7745,0.0579617
448,-0.7744,0.0579617
449,-0.7743,0.0579617
450,-0.7742,0.0579617
451,-0.7741,0.0579617
452,-0.774,0.0579617
453,-0.7739,0.0579617
454,-0.7738,0.0579617
455,-0.7737,0.0579617
456,-0.7736,0.0579617
457,-0.7735,0.0579617
458,-0.7734,0.0579617
459,-0.7733,0.0579617
460,-0.7732,0.0579617
461,-0.7731,0.0579617
462,-0.773,0.0579617
463,-0.7729,0.0579617
464,-0.7728,0.0579617
465,-0.7727,0.0579617
466,-0.7726,0.0579617
467,-0.7725,0.0579617
468,-0.7724,0.0579617
469,-0.7723,0.0579617
470,-0.7722,0.0579617
471,-0.7721,0.0579617
472,-0.772,0.0579617
473,-0.7719,0.0579617
474,-0.7718,0.0579617
475,-0.7717,0.0579617
476,-0.7716,0.0579617
477,-0.7715,0.0579617
478,-0.7714,0.0579617
479,-0.7713,0.0579617
480,-0.7712,0.0579617
481,-0.7711,0.0579617
482,-0.771,0.0579617
483,-0.7709,0.0579617
484,-0.7708,0.0579617
485,-0.7707,0.0579617
486,-0.7706,0.0579617
487,-0.7705,0.0579617
488,-0.7704,0.0579617
489,-0.7703,0.0579617
490,-0.7702,0.0579617
491,-0.7701,0.0579617
492,-0.77,0.0579617
493,-0.7699,0.0579617
494,-0.7698,0.0579617
495,-0.7697,0.0579617
496,-0.7696,0.0579617
497,-0.7695,0.0579617
498,-0.7694,0.0579617
499,-0.7693,0.0579617
500,-0.7692,0.0579617
501,-0.7691,0.0579617
502,-0.769,0.0579617
503,-0.7689,0.0579617
504,-0.7688,0.0579617
505,-0.7687,0.0579617
506,-0.7686,0.0579617
507,-0.7685,0.0579617
508,-0.7684,0.0579617
509,-0.7683,0.0579617
510,-0.7682,0.0579617
511,-0.7681,0.0579617
512,-0.768,0.0579617
513,-0.7679,0.0579617
514,-0.7678,0.0579617
515,-0.7677,0.0579617
516,-0.7676,0.0579617
517,-0.7675,0.0579617
518,-0.7674,0.0579617
519,-0.7673,0.0579617
520,-0.7672,0.0579617
521,-0.7671,0.0579617
522,-0.767,0.0579617
523,-0.7669,0.0579617
524,-0.7668,0.0579617
525,-0.7667,0.0579617
526,-0.7666,0.0579617
527,-0.7665,0.0579617
528,-0.7664,0.0579617
529,-0.7663,0.0579617
530,-0.7662,0.0579617
531,-0.7661,0.0579617
532,-0.766,0.0579617
533,-0.7659,0.0579617
534,-0.7658,0.0579617
535,-0.7657,0.0579617
536,-0.7656,0.0579617
537,-0.7655,0.0579617
538,-0.7654,0.0579617
539,-0.7653,0.0579617
540,-0.7652,0.0579617
541,-0.7651,0.0579617
542,-0.765,0.0579617
543,-0.7649,0.0579617
544,-0.7648,0.0579617
545,-0.7647,0.0579617
546,-0.7646,0.0579617
547,-0.7645,0.0579617
548,-0.7644,0.0579617
549,-0.7643,0.0579617
550,-0.7642,0.0579617
551,-0.7641,0.0579617
552,-0.764,0.0579617
553,-0.7639,0.0579617
554,-0.7638,0.0579617
555,-0.7637,0.0579617
556,-0.7636,0.0579617
557,-0.7635,0.0579617
558,-0.7634,0.0579617
559,-0.7633,0.0579617
560,-0.7632,0.0579617
561,-0.7631,0.0579617
562,-0.763,0.0579617
563,-0.7629,0.0579617
564,-0.7628,0.0579617
565,-0.7627,0.0579617
566,-0.7626,0.0579617
567,-0.7625,0.0579617
568,-0.7624,0.0579617
569,-0.7623,0.0579617
570,-0.7622,0.0579617
571,-0.7621,0.0579617
572,-0.762,0.0579617
573,-0.7619,0.0579617
574,-0.7618,0.0579617
575,-0.7617,0.0579617
576,-0.7616,0.0579617
577,-0.7615,0.0579617
578,-0.7614,0.0579617
579,-0.7613,0.0579617
580,-0.7612,0.0579617
581,-0.7611,0.0579617
582,-0.761,0.0579617
583,-0.7609,0.0579617
584,-0.7608,0.0579617
585,-0.7607,0.0579617
586,-0.7606,0.0579617
587,-0.7605,0.0579617
588,-0.7604,0.0579617
